read_name	ref_name	ident	cigar	MD tag
ERR3586961.13	1	1.0	17S84M	84
ERR3586961.13	1	0.9702970297029703	101M	35C8A55T0
ERR3586961.36	1	1.0	3S98M	98
ERR3586961.36	1	1.0	101M	101
ERR3586961.44	1	0.9897959183673469	3S98M	80T17
ERR3586961.44	1	0.9603960396039604	101M	14C14A41C8T20
ERR3586961.80	1	1.0	3S98M	98
ERR3586961.80	1	1.0	101M	101
ERR3586961.87	1	0.9795918367346939	3S98M	67C29A0
ERR3586961.101	1	0.98989898989899	2S99M	83C15
ERR3586961.101	1	0.9801980198019802	101M	71C24G4
ERR3586961.121	1	1.0	2S99M	99
ERR3586961.121	1	0.9801980198019802	101M	42C8A49
ERR3586961.132	1	0.9811320754716981	2S53M	35T17
ERR3586961.132	1	0.9811320754716981	2S53M	35T17
ERR3586961.165	1	0.989247311827957	3S93M5S	5C87
ERR3586961.165	1	1.0	54M47S	54
ERR3586961.170	1	0.9897959183673469	98M3S	63C34
ERR3586961.170	1	0.9603960396039604	101M	3A5T17C65C7
ERR3586961.184	1	0.98989898989899	2S99M	60T38
ERR3586961.184	1	0.9900990099009901	101M	100C0
ERR3586961.186	1	1.0	3S98M	98
ERR3586961.186	1	0.9801980198019802	101M	95G3T1
ERR3586961.190	1	0.98989898989899	99M2S	89A9
ERR3586961.190	1	0.9900990099009901	101M	4G96
ERR3586961.223	1	1.0	3S98M	98
ERR3586961.223	1	0.9801980198019802	101M	83C16T0
ERR3586961.235	1	0.9866666666666667	3S75M	38C36
ERR3586961.235	1	0.9866666666666667	3S75M	38C36
ERR3586961.241	1	1.0	3S97M	97
ERR3586961.241	1	0.9801980198019802	101M	11T20T68
ERR3586961.250	1	1.0	3S98M	98
ERR3586961.250	1	0.9801980198019802	101M	31C8A60
ERR3586961.253	1	1.0	3S98M	98
ERR3586961.253	1	0.9900990099009901	101M	100T0
ERR3586961.263	1	1.0	2S99M	99
ERR3586961.263	1	0.9900990099009901	101M	100T0
ERR3586961.269	1	0.9897959183673469	3S98M	8T89
ERR3586961.269	1	0.9900990099009901	101M	92A8
ERR3586961.308	1	0.9896907216494846	4S97M	79T17
ERR3586961.308	1	0.9603960396039604	101M	9T41C38A9T0
ERR3586961.319	1	1.0	3S98M	98
ERR3586961.319	1	0.9900990099009901	101M	83C17
ERR3586961.360	1	0.9897959183673469	3S98M	68A29
ERR3586961.360	1	0.9795918367346939	98M	3T92C1
ERR3586961.365	1	0.9801980198019802	101M	1T84C14
ERR3586961.365	1	0.9900990099009901	101M	44C56
ERR3586961.377	1	0.98989898989899	2S99M	78C20
ERR3586961.377	1	0.9801980198019802	101M	35C47C17
ERR3586961.381	1	0.98989898989899	2S99M	87A11
ERR3586961.381	1	0.9801980198019802	101M	2A11T86
ERR3586961.383	1	0.9894736842105263	3S95M3S	38C56
ERR3586961.383	1	0.987012987012987	77M24S	45T31
ERR3586961.392	1	0.9894736842105263	6S95M	39C55
ERR3586961.392	1	1.0	101M	101
ERR3586961.407	1	0.9897959183673469	3S98M	45T52
ERR3586961.407	1	0.9900990099009901	101M	92A8
ERR3586961.413	1	1.0	3S98M	98
ERR3586961.413	1	0.9801980198019802	101M	88G8G3
ERR3586961.417	1	0.9818181818181818	4S55M	36T18
ERR3586961.417	1	0.9811320754716981	4S53M	36T16
ERR3586961.426	1	0.98989898989899	99M2S	89A9
ERR3586961.426	1	1.0	101M	101
ERR3586961.435	1	1.0	2S99M	99
ERR3586961.435	1	1.0	101M	101
ERR3586961.448	1	0.9897959183673469	98M3S	39A58
ERR3586961.448	1	0.9900990099009901	101M	48A52
ERR3586961.463	1	0.9897959183673469	98M3S	10T87
ERR3586961.463	1	0.9801980198019802	101M	0T45T54
ERR3586961.469	1	0.9900990099009901	8M1D93M	2A5^A93
ERR3586961.469	1	0.9900990099009901	101M	99T1
ERR3586961.484	1	0.9897959183673469	3S98M	74T23
ERR3586961.484	1	0.9801980198019802	101M	34T35T30
ERR3586961.501	1	1.0	3S98M	98
ERR3586961.501	1	0.9900990099009901	101M	98G2
ERR3586961.502	1	0.9801980198019802	101M	20T20A59
ERR3586961.502	1	0.98	100M	51T20A27
ERR3586961.510	1	0.9871794871794872	78M3S	0T77
ERR3586961.510	1	1.0	72M3S	72
ERR3586961.512	1	1.0	3S98M	98
ERR3586961.512	1	0.9702970297029703	101M	40C8A44A6
ERR3586961.531	1	0.9897959183673469	3S98M	82T15
ERR3586961.531	1	0.9900990099009901	101M	10T90
ERR3586961.539	1	0.9814814814814815	54M3S	5T48
ERR3586961.539	1	0.9814814814814815	54M3S	5T48
ERR3586961.541	1	1.0	10S91M	91
ERR3586961.541	1	0.9900990099009901	101M	0T100
ERR3586961.545	1	1.0	3S98M	98
ERR3586961.545	1	0.98	100M	33C64T1
ERR3586961.549	1	1.0	3S77M	77
ERR3586961.549	1	1.0	3S76M	76
ERR3586961.551	1	1.0	97M4S	97
ERR3586961.551	1	0.9801980198019802	101M	41G20G38
ERR3586961.577	1	0.9897959183673469	3S98M	94C3
ERR3586961.577	1	0.9801980198019802	101M	43C55T1
ERR3586961.594	1	1.0	98M3S	98
ERR3586961.594	1	1.0	101M	101
ERR3586961.627	1	0.9897959183673469	3S98M	37A60
ERR3586961.627	1	0.9789473684210527	95M	41C8A44
ERR3586961.657	1	1.0	3S98M	98
ERR3586961.657	1	0.9900990099009901	101M	99A1
ERR3586961.660	1	1.0	3S98M	98
ERR3586961.660	1	0.9900990099009901	101M	97C3
ERR3586961.663	1	1.0	3S56M	56
ERR3586961.663	1	1.0	3S56M	56
ERR3586961.665	1	0.98989898989899	99M2S	16A82
ERR3586961.665	1	0.9900990099009901	101M	45A55
ERR3586961.669	1	0.9897959183673469	3S98M	91C6
ERR3586961.669	1	0.9702970297029703	101M	28C8A58A4
ERR3586961.674	1	0.9897959183673469	3S98M	6A91
ERR3586961.674	1	0.9900990099009901	101M	92C8
ERR3586961.681	1	0.9900990099009901	101M	2T98
ERR3586961.681	1	1.0	101M	101
ERR3586961.682	1	0.9897959183673469	3S98M	94T3
ERR3586961.682	1	0.9801980198019802	101M	34T59A6
ERR3586961.700	1	0.9897959183673469	98M3S	47A50
ERR3586961.700	1	0.9900990099009901	101M	56A44
ERR3586961.706	1	0.9897959183673469	3S98M	11C86
ERR3586961.706	1	0.9504950495049505	101M	34C50T0T0C0A12
ERR3586961.745	1	0.9897959183673469	3S98M	92A5
ERR3586961.745	1	0.9900990099009901	101M	84A16
ERR3586961.770	1	1.0	99M2S	99
ERR3586961.770	1	0.9702970297029703	101M	1T3T54G40
ERR3586961.778	1	0.9897959183673469	3S98M	91T6
ERR3586961.778	1	0.98989898989899	99M2S	70T28
ERR3586961.781	1	0.9897959183673469	3S98M	75T22
ERR3586961.781	1	0.9900990099009901	101M	16T84
ERR3586961.817	1	0.9897959183673469	3S98M	56G41
ERR3586961.817	1	0.9801980198019802	101M	37C8A54
ERR3586961.823	1	0.9897959183673469	98M3S	10A87
ERR3586961.823	1	0.9801980198019802	101M	0T55A44
ERR3586961.826	1	1.0	3S98M	98
ERR3586961.826	1	1.0	62M1D39M	62^C39
ERR3586961.832	1	1.0	2S99M	99
ERR3586961.832	1	0.9702970297029703	101M	2C35C60G1
ERR3586961.844	1	1.0	3S98M	98
ERR3586961.844	1	0.9900990099009901	101M	96G4
ERR3586961.866	1	0.9897959183673469	3S98M	38T59
ERR3586961.866	1	0.98989898989899	99M2S	71T27
ERR3586961.869	1	1.0	3S98M	98
ERR3586961.869	1	0.9900990099009901	101M	95A5
ERR3586961.875	1	1.0	3S98M	98
ERR3586961.875	1	1.0	101M	101
ERR3586961.884	1	0.9897959183673469	3S98M	14T83
ERR3586961.884	1	0.9897959183673469	98M3S	59T38
ERR3586961.893	1	1.0	71M2S	71
ERR3586961.893	1	0.9891304347826086	92M2S	4C87
ERR3586961.913	1	0.9897959183673469	3S98M	16C81
ERR3586961.913	1	0.9702970297029703	101M	50A17T23A8
ERR3586961.932	1	0.9797979797979798	99M	1A82A14
ERR3586961.932	1	0.9900990099009901	101M	100G0
ERR3586961.944	1	1.0	98M3S	98
ERR3586961.944	1	1.0	5M1D96M	5^T96
ERR3586961.952	1	0.9897959183673469	3S98M	83C14
ERR3586961.952	1	0.9900990099009901	101M	80C20
ERR3586961.971	1	0.9897959183673469	3S98M	19T78
ERR3586961.971	1	1.0	101M	101
ERR3586961.987	1	1.0	3S82M	82
ERR3586961.987	1	0.9876543209876543	3S81M	78G2
ERR3586961.1022	1	0.9833333333333333	3S60M	56T3
ERR3586961.1022	1	0.9833333333333333	3S60M	56T3
ERR3586961.1027	1	1.0	3S73M	73
ERR3586961.1027	1	1.0	3S72M	72
ERR3586961.1029	1	0.9897959183673469	3S98M	67A30
ERR3586961.1029	1	0.9504950495049505	101M	34C50T0T0C0A12
ERR3586961.1032	1	1.0	98M3S	98
ERR3586961.1032	1	0.9900990099009901	101M	35T65
ERR3586961.1069	1	0.9795918367346939	3S98M	86C8A2
ERR3586961.1069	1	0.9702970297029703	101M	34C8A55T1
ERR3586961.1082	1	0.9797979797979798	99M2S	0T79T18
ERR3586961.1082	1	0.9791666666666666	96M	0T79T15
ERR3586961.1119	1	1.0	3S98M	98
ERR3586961.1119	1	1.0	100M	100
ERR3586961.1136	1	1.0	3S98M	98
ERR3586961.1136	1	0.9690721649484536	97M	41C8A15T30
ERR3586961.1171	1	0.9827586206896551	3S58M4S	9C48
ERR3586961.1171	1	0.9821428571428571	3S56M6S	9C46
ERR3586961.1188	1	1.0	3S98M	98
ERR3586961.1188	1	0.9797979797979798	99M2S	36C8A53
ERR3586961.1198	1	0.9814814814814815	7S54M5S	37C16
ERR3586961.1198	1	0.9814814814814815	20S54M5S	37C16
ERR3586961.1203	1	1.0	3S98M	98
ERR3586961.1203	1	0.9702970297029703	101M	37C8A53C0
ERR3586961.1207	1	1.0	3S98M	98
ERR3586961.1207	1	0.9702970297029703	101M	44C8A31T15
ERR3586961.1233	1	0.9897959183673469	3S98M	62C35
ERR3586961.1233	1	0.9504950495049505	101M	30C50T0T0C0A16
ERR3586961.1253	1	0.9897959183673469	3S98M	50T47
ERR3586961.1253	1	0.9895833333333334	96M5S	43T52
ERR3586961.1270	1	1.0	3S98M	98
ERR3586961.1270	1	0.9900990099009901	101M	99T1
ERR3586961.1282	1	0.9897959183673469	3S98M	24T73
ERR3586961.1282	1	0.9801980198019802	101M	85T10T4
ERR3586961.1320	1	0.9801980198019802	101M	1T83C15
ERR3586961.1320	1	0.9801980198019802	101M	6C50A43
ERR3586961.1325	1	1.0	3S98M	98
ERR3586961.1325	1	0.9801980198019802	101M	38C8A53
ERR3586961.1345	1	0.9897959183673469	3S98M	71C26
ERR3586961.1345	1	0.9896907216494846	97M4S	21C75
ERR3586961.1359	1	1.0	79M2S	79
ERR3586961.1359	1	1.0	79M2S	79
ERR3586961.1371	1	0.9795918367346939	3S98M	90T6T0
ERR3586961.1371	1	0.9896907216494846	4S97M	90T6
ERR3586961.1398	1	1.0	3S98M	98
ERR3586961.1398	1	1.0	101M	101
ERR3586961.1407	1	0.9897959183673469	3S98M	11A86
ERR3586961.1407	1	0.9603960396039604	101M	52G17C14C10G4
ERR3586961.1415	1	1.0	3S97M	97
ERR3586961.1415	1	0.9900990099009901	101M	100C0
ERR3586961.1420	1	0.9875	3S80M3S	37C42
ERR3586961.1420	1	0.9875	3S80M3S	37C42
ERR3586961.1423	1	1.0	3S98M	98
ERR3586961.1423	1	1.0	101M	101
ERR3586961.1434	1	1.0	2S99M	99
ERR3586961.1434	1	0.9900990099009901	101M	83C17
ERR3586961.1453	1	1.0	3S98M	98
ERR3586961.1453	1	0.9801980198019802	101M	44C8A47
ERR3586961.1462	1	1.0	3S98M	98
ERR3586961.1462	1	0.9797979797979798	99M	37C8A52
ERR3586961.1463	1	1.0	3S98M	98
ERR3586961.1463	1	1.0	100M	100
ERR3586961.1470	1	1.0	3S98M	98
ERR3586961.1470	1	0.95	60M40S	6T2C8C41
ERR3586961.1500	1	1.0	3S98M	98
ERR3586961.1509	1	1.0	3S98M	98
ERR3586961.1509	1	0.9900990099009901	101M	83C17
ERR3586961.1512	1	1.0	3S98M	98
ERR3586961.1512	1	0.9801980198019802	101M	30C8A61
ERR3586961.1528	1	1.0	98M3S	98
ERR3586961.1528	1	0.9900990099009901	101M	2T98
ERR3586961.1540	1	1.0	3S76M	76
ERR3586961.1540	1	1.0	3S69M	69
ERR3586961.1603	1	1.0	2S99M	99
ERR3586961.1603	1	0.99	100M	0T99
ERR3586961.1609	1	1.0	3S98M	98
ERR3586961.1609	1	0.979381443298969	97M	40C8A47
ERR3586961.1615	1	1.0	3S98M	98
ERR3586961.1615	1	0.9895833333333334	96M	67A28
ERR3586961.1629	1	1.0	3S98M	98
ERR3586961.1629	1	1.0	97M4S	97
ERR3586961.1646	1	0.9702970297029703	101M	0T45A44A9
ERR3586961.1646	1	0.9894736842105263	95M5S	16C78
ERR3586961.1671	1	1.0	69M3S	69
ERR3586961.1671	1	1.0	69M3S	69
ERR3586961.1673	1	0.9897959183673469	3S98M	38C59
ERR3586961.1673	1	0.9900990099009901	101M	8C92
ERR3586961.1691	1	0.9897959183673469	98M3S	78C19
ERR3586961.1691	1	0.9801980198019802	101M	0T23T76
ERR3586961.1701	1	1.0	5S93M3S	93
ERR3586961.1701	1	0.9900990099009901	21M1D80M	19C1^G80
ERR3586961.1733	1	1.0	101M	101
ERR3586961.1733	1	0.9897959183673469	98M3S	82C15
ERR3586961.1752	1	1.0	3S98M	98
ERR3586961.1752	1	0.9801980198019802	101M	26C73T0
ERR3586961.1791	1	1.0	3S98M	98
ERR3586961.1791	1	0.9603960396039604	101M	15C14A59C8T1
ERR3586961.1795	1	0.9897959183673469	3S98M	68C29
ERR3586961.1795	1	0.9900990099009901	101M	41C59
ERR3586961.1808	1	0.9897959183673469	3S98M	66C31
ERR3586961.1808	1	0.9797979797979798	99M2S	30C8A59
ERR3586961.1820	1	1.0	90M3S	90
ERR3586961.1820	1	1.0	90M3S	90
ERR3586961.1848	1	1.0	70M3S	70
ERR3586961.1848	1	1.0	70M3S	70
ERR3586961.1854	1	0.98989898989899	99M2S	89A9
ERR3586961.1854	1	0.9801980198019802	101M	0A92A7
ERR3586961.1865	1	0.9863013698630136	3S73M	43A29
ERR3586961.1865	1	0.9863013698630136	3S73M	43A29
ERR3586961.1872	1	0.9897959183673469	3S98M	77C20
ERR3586961.1872	1	0.9900990099009901	98M1D3M	39C58^T3
ERR3586961.1889	1	0.9897959183673469	3S98M	86A11
ERR3586961.1889	1	0.9900990099009901	101M	74A26
ERR3586961.1890	1	0.9801980198019802	101M	2C70C27
ERR3586961.1890	1	0.9900990099009901	101M	41C59
ERR3586961.1891	1	0.9795918367346939	3S98M	87C8A1
ERR3586961.1891	1	0.9801980198019802	101M	44C8A47
ERR3586961.1898	1	0.9879518072289156	3S83M	57T25
ERR3586961.1898	1	1.0	101M	101
ERR3586961.1902	1	0.9897959183673469	3S98M	19T78
ERR3586961.1902	1	0.9900990099009901	101M	98G2
ERR3586961.1903	1	0.9897959183673469	3S98M	69C28
ERR3586961.1903	1	0.9900990099009901	101M	79G21
ERR3586961.1916	1	1.0	79M3S	79
ERR3586961.1916	1	1.0	101M	101
ERR3586961.1935	1	1.0	2S99M	99
ERR3586961.1935	1	0.9801980198019802	101M	42C8A49
